age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,services,married,secondary,no,612,yes,no,cellular,9,aug,632,2,-1,0,unknown,no
35,technician,married,primary,no,2105,yes,no,unknown,14,apr,257,2,-1,0,unknown,no
47,management,married,tertiary,no,492,yes,no,cellular,4,apr,213,4,-1,0,failure,no
19,management,single,tertiary,no,-168,no,no,cellular,5,jul,1,2,156,0,failure,no
19,retired,married,tertiary,no,-370,yes,no,cellular,1,feb,28,5,-1,0,unknown,no
38,retired,married,primary,no,-208,yes,no,cellular,1,jul,114,1,-1,0,unknown,no
48,blue-collar,married,tertiary,no,-288,no,no,cellular,9,nov,603,1,-1,0,success,no
20,retired,single,secondary,no,997,yes,no,cellular,7,jul,35,2,-1,1,unknown,no
33,management,married,tertiary,no,913,no,no,cellular,15,nov,378,2,-1,0,unknown,no
41,management,married,tertiary,no,5995,no,no,unknown,11,may,29,1,-1,0,unknown,no
49,services,single,secondary,no,10694,yes,yes,cellular,14,jul,1,1,0,0,unknown,no
45,management,married,tertiary,no,620,yes,no,cellular,13,jul,45,2,-1,1,unknown,no
24,blue-collar,married,tertiary,no,-178,yes,yes,unknown,4,jun,70,2,-1,0,unknown,no
45,services,single,tertiary,no,410,no,no,unknown,19,jun,22,3,-1,2,unknown,no
26,unemployed,married,primary,no,173,yes,yes,cellular,4,may,1,1,-1,0,unknown,no
48,blue-collar,married,primary,no,3031,yes,no,unknown,17,aug,934,1,-1,1,unknown,yes
43,management,married,tertiary,no,518,yes,no,unknown,4,mar,1,1,-1,0,success,no
28,technician,single,secondary,no,3878,no,no,telephone,8,jun,258,1,-1,0,unknown,no
36,services,married,secondary,no,-399,yes,no,cellular,10,nov,8,1,-1,0,unknown,no
25,blue-collar,divorced,secondary,no,-436,yes,no,cellular,9,may,742,2,-1,0,unknown,yes
47,unknown,married,secondary,no,-116,yes,yes,unknown,1,may,1,2,-1,0,failure,no
32,technician,married,primary,no,567,yes,no,cellular,1,jun,1,2,-1,0,unknown,no
53,unknown,married,primary,no,-691,no,yes,unknown,21,aug,33,2,-1,0,unknown,yes
43,blue-collar,single,secondary,no,-139,no,no,cellular,9,nov,281,3,1,0,unknown,no
39,technician,single,tertiary,no,2611,no,no,cellular,12,jun,35,1,-1,2,unknown,no
18,management,married,secondary,no,-1050,no,no,cellular,24,jan,158,3,-1,0,success,no
40,blue-collar,married,tertiary,no,-147,no,no,cellular,17,jun,1,3,89,1,unknown,no
20,admin.,married,primary,no,19604,yes,no,cellular,8,aug,121,1,1,0,unknown,no
54,blue-collar,married,secondary,no,317,yes,no,unknown,20,may,60,2,-1,1,unknown,no
51,management,single,secondary,no,-1050,yes,yes,cellular,20,feb,1,1,4,0,unknown,no
22,unemployed,married,primary,no,18383,yes,no,telephone,19,aug,148,2,-1,0,unknown,no
39,services,divorced,tertiary,no,-426,yes,no,cellular,17,jul,283,2,-1,0,unknown,no
43,admin.,married,secondary,no,-264,yes,no,unknown,18,oct,1,5,9,0,unknown,no
24,management,divorced,secondary,no,1398,yes,yes,cellular,16,nov,189,2,-1,0,unknown,no
62,housemaid,married,primary,no,-381,no,no,cellular,5,may,544,2,-1,0,unknown,no
54,services,married,secondary,no,420,yes,no,unknown,11,aug,1,2,6,0,unknown,no
30,blue-collar,married,unknown,no,17693,yes,no,telephone,19,jul,82,4,-1,2,unknown,no
44,admin.,single,tertiary,no,-358,no,no,cellular,14,jul,1,2,-1,0,unknown,no
43,blue-collar,divorced,tertiary,no,-502,yes,yes,cellular,27,aug,62,2,-1,0,success,no
23,management,divorced,tertiary,no,-1050,no,no,cellular,2,oct,17,2,-1,0,other,no
39,blue-collar,married,secondary,no,-609,yes,no,cellular,1,may,132,1,-1,0,unknown,no
25,admin.,married,unknown,no,1919,no,no,cellular,15,nov,121,1,-1,3,failure,yes
50,technician,married,primary,no,528,yes,no,cellular,18,may,247,5,-1,0,unknown,yes
46,management,married,tertiary,no,-153,no,no,cellular,19,feb,1,1,7,0,success,yes
59,student,single,tertiary,no,7322,yes,no,cellular,18,aug,440,1,-1,0,unknown,no
43,management,married,primary,no,9794,yes,no,unknown,12,may,351,5,-1,1,failure,yes
25,unknown,divorced,primary,no,1015,no,no,unknown,15,aug,99,2,-1,0,failure,yes
26,retired,married,tertiary,no,-1050,no,no,unknown,8,may,27,5,-1,0,unknown,no
22,retired,divorced,tertiary,no,14202,yes,yes,unknown,16,aug,30,2,-1,0,unknown,no
49,blue-collar,married,tertiary,no,6376,yes,no,cellular,12,may,1,3,-1,0,unknown,no
50,management,single,tertiary,no,-751,yes,no,cellular,12,jul,368,2,-1,0,unknown,no
22,technician,married,secondary,no,-78,no,no,cellular,14,jun,81,1,-1,0,unknown,no
53,blue-collar,single,secondary,no,-199,no,no,cellular,24,jan,481,2,504,0,unknown,no
28,management,single,secondary,no,170,yes,no,cellular,17,nov,59,5,-1,0,success,no
34,blue-collar,married,primary,no,-304,yes,no,cellular,2,may,14,2,-1,1,failure,yes
18,technician,married,secondary,no,-296,yes,no,cellular,19,feb,242,2,-1,0,unknown,no
27,blue-collar,divorced,secondary,no,-626,yes,no,cellular,20,may,367,2,-1,0,failure,no
34,management,married,primary,no,-732,yes,no,cellular,6,jun,1,1,-1,0,unknown,no
58,unknown,married,secondary,no,1189,yes,no,unknown,21,may,40,1,-1,0,unknown,no
49,student,married,primary,no,-1050,yes,yes,cellular,18,jun,55,2,-1,0,unknown,no
41,management,married,tertiary,no,2714,yes,no,cellular,1,nov,1,2,3,0,failure,no
27,technician,married,tertiary,no,-42,no,no,cellular,24,jul,120,1,-1,0,unknown,no
23,services,married,tertiary,no,-1050,yes,no,cellular,14,jul,489,4,-1,1,failure,no
22,management,married,secondary,no,321,no,no,cellular,15,may,348,2,1,0,unknown,no
34,management,married,secondary,no,-365,no,no,cellular,26,may,1,1,-1,1,unknown,no
41,management,single,secondary,no,-429,no,no,cellular,5,oct,212,2,-1,0,unknown,no
22,blue-collar,divorced,secondary,no,775,yes,no,cellular,18,aug,159,2,-1,0,unknown,no
58,admin.,married,secondary,no,-45,yes,no,cellular,8,aug,92,2,3,0,failure,no
57,management,divorced,tertiary,no,-75,no,no,cellular,7,jan,150,1,-1,0,success,no
54,management,divorced,primary,no,-506,no,yes,cellular,2,aug,16,2,-1,2,failure,no
51,services,divorced,tertiary,no,-1050,yes,no,cellular,10,jun,78,1,-1,2,unknown,no
82,retired,single,tertiary,no,5142,yes,yes,cellular,27,may,213,1,-1,0,failure,no
25,unemployed,married,unknown,no,-140,no,no,cellular,6,may,1,2,0,0,success,no
43,blue-collar,married,secondary,no,612,yes,no,cellular,16,aug,151,2,296,0,unknown,no
44,management,married,tertiary,no,4696,no,no,cellular,20,may,268,2,-1,0,failure,no
41,unemployed,married,tertiary,no,-789,yes,yes,cellular,18,may,121,2,-1,0,unknown,yes
23,retired,married,tertiary,no,889,no,no,telephone,2,jul,97,1,-1,0,unknown,no
56,management,married,tertiary,no,3144,no,no,cellular,3,jul,1,4,-1,3,unknown,no
39,blue-collar,single,unknown,no,865,no,yes,unknown,13,may,1,2,-1,4,unknown,no
55,admin.,married,tertiary,yes,3926,yes,no,telephone,16,aug,1,2,-1,0,unknown,no
57,technician,married,tertiary,no,21969,yes,no,cellular,12,jul,126,1,3,0,unknown,no
50,management,married,tertiary,no,-369,yes,no,cellular,18,jul,54,2,-1,6,unknown,no
36,technician,married,tertiary,no,-245,no,yes,cellular,7,may,175,2,-1,0,unknown,yes
51,management,married,tertiary,no,546,yes,yes,unknown,1,aug,70,2,-1,3,unknown,yes
24,blue-collar,married,tertiary,no,249,no,no,unknown,18,aug,1,1,-1,1,unknown,no
70,self-employed,single,secondary,no,76,no,no,unknown,24,feb,263,2,-1,0,unknown,yes
46,blue-collar,married,secondary,no,268,yes,no,unknown,22,may,113,12,-1,0,failure,yes
48,technician,single,tertiary,no,-1050,no,yes,cellular,7,may,101,2,-1,4,failure,no
42,blue-collar,single,secondary,no,-1050,yes,no,cellular,12,may,313,3,-1,0,unknown,no
41,technician,married,secondary,no,324,yes,no,cellular,8,mar,14,2,-1,1,unknown,yes
60,blue-collar,married,primary,no,-177,yes,no,cellular,22,may,147,1,-1,1,other,no
20,admin.,single,secondary,no,-350,yes,no,unknown,6,dec,34,3,-1,0,success,no
41,blue-collar,married,primary,no,-460,yes,no,cellular,15,may,250,2,-1,0,unknown,no
42,services,married,tertiary,no,685,no,no,unknown,14,jun,205,2,2,0,unknown,no
27,admin.,married,tertiary,no,-435,no,yes,cellular,13,jun,144,2,1,0,success,no
43,unemployed,married,primary,no,-196,yes,no,cellular,18,jul,640,1,0,3,unknown,no
45,management,married,secondary,no,-591,yes,no,cellular,4,nov,1,1,-1,0,unknown,no
37,entrepreneur,divorced,tertiary,no,42,yes,yes,cellular,5,oct,15,1,-1,0,unknown,no
35,technician,married,primary,no,-428,yes,no,unknown,10,jul,164,1,-1,0,unknown,no
37,admin.,married,secondary,no,163,no,no,cellular,14,aug,1,2,-1,0,unknown,no
42,blue-collar,married,unknown,no,7166,yes,no,cellular,16,may,1,2,-1,0,unknown,yes
42,admin.,married,primary,no,-210,no,no,cellular,5,jul,1,2,3,0,unknown,yes
46,retired,married,tertiary,no,-1050,no,no,unknown,16,jul,591,2,0,1,failure,no
45,management,married,secondary,no,70,yes,yes,cellular,20,aug,185,1,-1,0,unknown,no
23,technician,married,secondary,no,11,no,no,cellular,17,may,138,2,-1,0,unknown,no
40,blue-collar,single,tertiary,no,6859,yes,no,cellular,3,may,1,1,152,0,unknown,no
46,housemaid,married,primary,no,10541,yes,no,unknown,16,may,1,8,-1,0,unknown,yes
52,blue-collar,divorced,primary,no,7226,yes,no,cellular,28,nov,55,2,-1,0,unknown,no
59,technician,married,secondary,no,4179,yes,no,cellular,22,aug,110,1,-1,0,other,yes
38,technician,married,primary,yes,4075,no,no,cellular,19,jul,379,2,-1,0,unknown,yes
39,blue-collar,married,tertiary,no,-565,yes,no,unknown,23,aug,1,2,-1,0,unknown,no
55,blue-collar,married,tertiary,no,8000,yes,no,cellular,6,may,37,2,4,0,unknown,no
38,management,single,secondary,no,110,yes,no,cellular,7,may,100,3,-1,3,unknown,no
21,blue-collar,divorced,unknown,no,6678,yes,no,cellular,26,may,355,2,-1,0,unknown,yes
45,admin.,single,secondary,no,-175,yes,no,cellular,13,may,69,2,-1,0,other,no
33,admin.,married,secondary,no,-156,yes,no,cellular,8,aug,26,2,114,1,unknown,no
34,technician,married,secondary,no,278,no,no,cellular,9,dec,2,1,-1,0,failure,no
21,technician,married,secondary,no,187,no,no,cellular,13,may,194,2,-1,0,unknown,no
22,management,married,tertiary,no,6369,no,no,cellular,18,nov,1,4,346,0,unknown,yes
61,housemaid,married,tertiary,no,583,yes,no,cellular,7,sep,1,2,-1,0,failure,yes
41,management,divorced,secondary,no,46,yes,no,cellular,15,may,40,1,4,0,unknown,no
19,admin.,married,tertiary,no,19242,no,yes,cellular,13,jul,402,2,-1,0,unknown,no
61,management,divorced,tertiary,no,-1050,yes,yes,cellular,14,jun,170,1,-1,0,unknown,no
54,services,married,tertiary,no,72,yes,no,cellular,25,jul,224,2,-1,0,failure,yes
52,technician,married,tertiary,no,-318,yes,no,cellular,15,jul,6,5,1,0,unknown,no
45,retired,married,tertiary,no,687,yes,no,cellular,14,nov,277,1,-1,1,unknown,no
30,admin.,single,secondary,no,1710,no,no,cellular,9,jul,1,4,-1,0,unknown,no
39,blue-collar,single,tertiary,no,-382,yes,no,cellular,12,feb,513,2,-1,0,unknown,no
56,blue-collar,single,secondary,no,-543,no,yes,cellular,15,mar,1,2,-1,0,unknown,no
21,admin.,married,tertiary,no,2492,yes,no,unknown,10,may,235,5,1,0,unknown,no
45,management,married,secondary,no,-432,no,no,cellular,19,aug,1,6,-1,3,unknown,no
61,blue-collar,married,tertiary,no,-417,no,yes,cellular,16,aug,21,1,-1,0,failure,no
21,blue-collar,married,tertiary,no,5421,yes,no,unknown,18,jul,83,1,-1,1,unknown,no
27,blue-collar,single,tertiary,no,-195,yes,no,telephone,11,may,427,2,-1,3,failure,no
46,technician,married,unknown,no,37,no,no,cellular,16,may,11,2,6,0,unknown,no
21,technician,divorced,secondary,no,-1050,yes,yes,telephone,8,apr,187,2,-1,1,unknown,no
50,blue-collar,married,secondary,no,-689,yes,yes,cellular,22,apr,38,4,0,0,unknown,no
62,technician,married,secondary,no,100,no,no,cellular,26,jul,258,2,-1,0,unknown,yes
42,blue-collar,married,tertiary,no,263,yes,no,cellular,12,aug,43,1,-1,0,unknown,no
48,admin.,divorced,tertiary,no,-1050,yes,yes,unknown,20,may,151,2,60,0,unknown,no
59,blue-collar,married,tertiary,no,-389,yes,no,unknown,19,apr,154,2,-1,3,unknown,yes
47,blue-collar,married,unknown,no,754,yes,no,cellular,6,jun,69,5,-1,0,unknown,yes
50,blue-collar,single,secondary,no,777,yes,no,cellular,14,aug,357,2,6,3,unknown,yes
49,technician,married,tertiary,no,-175,yes,no,cellular,28,jul,29,14,-1,0,unknown,no
28,management,married,secondary,no,-432,no,no,cellular,18,jun,52,2,5,0,unknown,yes
44,unemployed,married,primary,no,291,no,yes,cellular,13,aug,148,1,-1,0,other,yes
22,services,married,secondary,no,-182,yes,no,cellular,4,feb,1,1,-1,0,unknown,no
43,blue-collar,married,tertiary,no,98,no,no,cellular,15,jul,57,6,0,6,unknown,yes
34,management,married,tertiary,no,-389,no,no,cellular,1,may,302,1,-1,0,success,yes
22,management,married,secondary,no,-305,yes,no,telephone,12,jun,1,1,415,1,unknown,no
48,blue-collar,married,unknown,no,-403,yes,no,cellular,14,aug,71,1,0,0,unknown,no
18,blue-collar,married,tertiary,no,2423,yes,no,unknown,14,jul,255,1,-1,0,failure,no
29,technician,married,tertiary,no,-256,yes,no,cellular,31,jul,1,1,3,0,unknown,no
27,management,married,secondary,no,-361,yes,no,unknown,16,aug,26,2,0,0,unknown,no
64,housemaid,married,unknown,no,468,yes,yes,cellular,8,jul,63,2,-1,0,unknown,no
40,services,married,primary,no,-1001,no,no,cellular,3,may,17,2,-1,1,unknown,no
30,blue-collar,married,tertiary,no,-26,yes,yes,unknown,8,nov,446,2,-1,0,unknown,no
18,management,married,tertiary,no,-1050,no,yes,cellular,1,nov,1,1,86,0,unknown,yes
57,technician,divorced,tertiary,no,-299,yes,yes,cellular,18,jun,65,3,4,0,unknown,no
54,blue-collar,married,tertiary,no,-328,no,no,cellular,10,jul,1,1,5,0,unknown,no
34,technician,married,secondary,no,490,yes,no,cellular,12,jan,292,2,0,0,unknown,no
42,management,married,secondary,no,16447,yes,no,cellular,4,jul,51,1,-1,0,unknown,no
53,retired,married,secondary,no,486,no,no,cellular,9,jun,287,2,3,0,unknown,no
44,blue-collar,married,secondary,no,232,yes,no,unknown,5,may,51,1,-1,0,failure,no
60,blue-collar,married,tertiary,no,-1050,no,no,cellular,13,mar,212,3,39,0,unknown,no
44,blue-collar,married,secondary,no,164,no,no,cellular,10,aug,1,6,1,0,unknown,yes
40,entrepreneur,married,tertiary,no,192,yes,yes,cellular,8,aug,111,1,-1,0,unknown,no
45,admin.,single,secondary,no,13588,yes,yes,cellular,15,may,649,2,37,0,failure,no
62,entrepreneur,married,tertiary,no,10823,yes,no,cellular,1,jul,113,1,-1,0,unknown,no
48,technician,married,tertiary,no,223,no,yes,unknown,1,jul,184,1,-1,0,other,yes
18,blue-collar,married,primary,no,-191,yes,no,cellular,13,aug,1,2,499,3,unknown,no
48,blue-collar,divorced,tertiary,no,934,yes,no,cellular,16,nov,126,4,-1,2,unknown,no
49,technician,divorced,tertiary,no,11258,yes,no,cellular,12,nov,47,1,-1,3,unknown,no
23,management,divorced,secondary,no,390,yes,no,cellular,1,may,178,5,0,7,unknown,no
33,management,married,secondary,no,5384,no,no,cellular,6,may,1,2,-1,0,unknown,no
26,management,married,tertiary,no,2743,yes,yes,cellular,19,may,1,1,0,0,failure,no
18,retired,divorced,primary,no,2194,yes,no,cellular,2,jul,1,2,-1,0,unknown,no
28,housemaid,divorced,tertiary,no,-1050,yes,no,unknown,21,jan,32,1,-1,0,unknown,no
48,technician,divorced,secondary,no,-1050,yes,no,cellular,16,nov,97,1,-1,0,success,no
43,admin.,married,secondary,no,11488,no,no,telephone,13,jan,42,2,356,0,unknown,no
30,technician,married,secondary,no,-253,yes,no,unknown,4,may,49,2,-1,0,unknown,yes
56,management,single,primary,no,11186,yes,yes,cellular,14,jun,1,1,213,0,unknown,no
45,technician,single,secondary,no,-467,yes,no,telephone,14,aug,1,1,-1,0,unknown,yes
43,management,married,secondary,no,-321,no,no,cellular,18,feb,29,2,-1,0,unknown,no
41,housemaid,married,tertiary,no,2217,no,no,unknown,1,aug,132,2,-1,0,failure,no
18,technician,single,secondary,no,22,no,no,telephone,13,may,95,2,-1,0,unknown,no
50,blue-collar,married,tertiary,no,-608,yes,no,cellular,1,nov,41,5,-1,1,unknown,no
23,management,married,primary,no,-400,yes,no,unknown,24,jul,120,2,-1,0,unknown,no
47,technician,single,secondary,no,870,yes,no,cellular,10,aug,45,2,1,0,unknown,no
55,entrepreneur,married,tertiary,no,559,yes,no,unknown,23,may,1,3,0,0,unknown,no
53,management,divorced,tertiary,no,-507,yes,no,cellular,16,jul,21,2,-1,0,unknown,no
26,blue-collar,divorced,tertiary,no,2272,yes,no,unknown,5,jun,1,1,-1,0,unknown,no
43,retired,married,secondary,no,270,yes,no,cellular,5,apr,66,1,1,1,unknown,no
46,blue-collar,married,primary,no,-506,no,no,cellular,5,aug,347,1,-1,0,unknown,no
42,services,married,secondary,no,29,no,no,cellular,12,may,734,4,1,0,failure,no
42,admin.,married,tertiary,no,-1050,yes,no,unknown,19,jan,133,5,-1,0,unknown,no
46,self-employed,married,primary,no,144,yes,yes,cellular,13,may,1,1,-1,0,unknown,no
41,technician,single,secondary,no,-394,yes,yes,telephone,13,may,1,2,-1,0,unknown,no
27,services,married,unknown,no,84,yes,no,unknown,1,mar,191,1,-1,0,unknown,no
36,retired,single,tertiary,no,-367,yes,no,unknown,9,jul,1,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,-680,yes,no,cellular,14,may,1,1,-1,0,unknown,no
62,entrepreneur,married,tertiary,no,8953,yes,no,unknown,13,jun,422,2,-1,0,unknown,no
63,management,married,secondary,no,145,yes,no,unknown,12,feb,21,5,10,0,unknown,yes
59,management,single,unknown,no,4200,no,yes,cellular,7,aug,1,1,124,1,failure,yes
33,blue-collar,married,tertiary,no,-451,no,no,cellular,3,aug,23,1,0,0,unknown,no
25,blue-collar,married,primary,no,-162,no,no,cellular,5,feb,102,1,-1,0,failure,no
18,student,single,secondary,no,-91,yes,no,unknown,6,sep,1,2,1,0,success,no
45,retired,married,tertiary,no,5535,yes,no,cellular,26,sep,248,2,-1,3,unknown,no
50,management,married,unknown,no,-17,yes,no,cellular,8,jul,80,6,-1,0,unknown,no
58,blue-collar,single,tertiary,no,-1050,yes,yes,telephone,8,nov,24,2,-1,0,unknown,yes
24,services,single,secondary,no,995,yes,no,cellular,14,jun,55,2,1,0,unknown,yes
30,management,divorced,tertiary,no,-387,yes,no,cellular,18,nov,31,1,-1,0,unknown,no
65,unemployed,married,unknown,no,664,no,no,cellular,15,aug,305,3,115,3,unknown,no
59,technician,single,primary,no,121,yes,no,cellular,1,jul,193,5,-1,0,failure,no
57,entrepreneur,single,secondary,no,3,no,no,cellular,9,apr,1,2,-1,0,unknown,no
29,management,divorced,secondary,no,1964,yes,no,unknown,25,nov,142,1,-1,0,unknown,no
19,blue-collar,married,secondary,no,901,yes,no,cellular,23,jun,102,2,-1,0,failure,no
33,admin.,single,tertiary,no,-1050,no,no,cellular,24,aug,156,2,-1,4,unknown,yes
48,services,married,secondary,no,9320,no,no,cellular,27,aug,21,3,2,4,unknown,no
46,blue-collar,married,secondary,no,-138,yes,yes,cellular,6,may,1,1,-1,0,failure,no
21,management,single,primary,no,7368,yes,no,cellular,26,may,1,2,-1,0,unknown,no
26,management,married,primary,no,878,yes,yes,unknown,14,may,19,2,3,0,unknown,no
42,management,divorced,tertiary,no,464,yes,no,unknown,19,nov,76,1,-1,0,failure,no
77,blue-collar,married,secondary,no,607,yes,no,cellular,29,feb,180,1,5,0,unknown,no
31,services,single,secondary,no,-543,yes,no,cellular,10,may,36,1,-1,0,unknown,no
39,retired,single,secondary,no,488,yes,no,cellular,20,mar,127,2,-1,0,unknown,no
36,blue-collar,married,primary,no,-209,no,yes,telephone,26,mar,170,1,-1,0,unknown,no
34,management,married,tertiary,no,1189,yes,no,cellular,10,jul,207,1,-1,2,other,yes
48,management,married,secondary,no,-324,yes,no,cellular,12,oct,752,2,-1,0,unknown,no
48,blue-collar,divorced,primary,no,-337,yes,no,cellular,8,feb,6,1,-1,0,unknown,no
43,retired,married,secondary,no,-264,no,no,unknown,1,may,46,1,-1,3,unknown,no
62,technician,single,tertiary,no,-657,yes,no,cellular,18,aug,84,1,0,0,success,no
56,student,single,secondary,no,6534,yes,no,unknown,23,may,19,3,-1,0,failure,no
56,blue-collar,single,tertiary,no,743,yes,yes,unknown,9,jul,166,2,24,2,unknown,no
59,blue-collar,married,secondary,no,13150,no,no,unknown,16,may,66,1,-1,0,unknown,no
40,admin.,divorced,primary,no,-383,no,no,cellular,17,jul,192,6,-1,0,unknown,no
35,retired,married,primary,no,6892,no,no,unknown,17,jul,203,1,0,0,success,no
48,services,divorced,tertiary,no,534,yes,no,unknown,6,aug,17,7,-1,5,failure,no
25,management,married,secondary,no,-634,yes,no,unknown,8,jul,1,2,-1,2,failure,no
49,blue-collar,married,secondary,no,174,no,no,cellular,6,jun,223,2,1,0,unknown,no
52,management,married,secondary,yes,679,no,yes,cellular,6,jul,245,6,-1,0,unknown,yes
53,retired,divorced,secondary,no,21456,no,no,cellular,1,aug,29,5,-1,0,unknown,no
48,management,single,tertiary,no,505,no,no,cellular,18,may,346,1,-1,0,unknown,no
39,management,single,primary,no,964,no,no,cellular,19,jun,200,1,-1,0,unknown,no
38,entrepreneur,married,tertiary,no,2137,no,no,cellular,15,jun,114,1,-1,0,other,no
18,technician,married,secondary,no,3415,no,yes,cellular,22,jun,105,2,3,0,unknown,no
39,unknown,single,tertiary,no,150,yes,yes,cellular,19,aug,142,2,-1,0,other,no
29,management,divorced,secondary,no,-224,yes,no,unknown,7,may,1,1,-1,0,unknown,no
45,self-employed,married,tertiary,no,-148,no,no,unknown,1,jul,52,2,1,0,failure,no
46,admin.,married,secondary,no,1768,yes,yes,unknown,1,may,1,2,-1,0,success,no
45,management,married,tertiary,no,-1050,yes,no,cellular,1,may,1,5,-1,0,failure,yes
51,blue-collar,married,secondary,no,-82,no,no,cellular,16,jul,628,2,3,1,unknown,yes
48,student,married,tertiary,no,341,no,yes,unknown,12,jul,38,2,-1,0,unknown,yes
48,technician,single,primary,no,1337,yes,yes,cellular,15,aug,1,1,-1,0,unknown,yes
42,retired,married,tertiary,no,-367,no,no,unknown,4,may,223,1,-1,0,failure,no
38,retired,married,secondary,no,544,yes,no,unknown,1,nov,58,2,-1,0,unknown,no
27,services,married,tertiary,no,-658,yes,no,cellular,4,jul,80,2,-1,0,unknown,yes
69,management,divorced,unknown,no,33,yes,yes,cellular,16,may,358,1,2,0,unknown,no
56,admin.,married,secondary,no,-294,no,yes,unknown,13,jul,339,1,-1,0,unknown,no
55,retired,married,secondary,no,167,yes,yes,cellular,1,jul,98,2,2,0,unknown,yes
24,self-employed,divorced,secondary,no,-627,yes,no,cellular,8,jun,1,2,-1,1,unknown,no
34,blue-collar,married,primary,no,4,yes,yes,unknown,21,may,143,2,0,0,unknown,yes
32,management,married,primary,no,564,yes,no,unknown,6,may,300,2,4,0,unknown,no
44,blue-collar,married,tertiary,no,3790,yes,no,cellular,6,may,33,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,-41,yes,no,cellular,24,jul,233,1,3,6,unknown,no
46,unknown,married,secondary,no,149,yes,no,cellular,18,aug,7,1,-1,0,failure,no
18,admin.,married,tertiary,no,1405,no,no,cellular,9,may,35,5,2,0,unknown,no
20,blue-collar,married,tertiary,no,302,no,no,cellular,19,jul,316,2,-1,0,unknown,no
29,unemployed,married,secondary,no,-1032,no,yes,telephone,18,aug,97,2,3,0,failure,yes
24,blue-collar,married,secondary,no,281,yes,no,cellular,4,apr,127,1,-1,0,unknown,no
52,services,married,secondary,no,17,yes,no,telephone,15,jul,24,1,476,0,unknown,no
37,blue-collar,married,tertiary,no,2339,no,no,cellular,13,aug,1,3,196,0,failure,no
27,blue-collar,married,secondary,no,291,no,no,cellular,14,may,44,1,2,0,unknown,no
44,blue-collar,married,secondary,no,-297,no,yes,unknown,19,nov,188,1,-1,0,unknown,no
62,management,married,secondary,no,-530,yes,no,unknown,15,mar,23,2,-1,0,unknown,yes
49,management,married,tertiary,no,135,no,no,unknown,8,may,130,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,-609,no,no,cellular,26,may,1,2,1,0,unknown,no
42,blue-collar,married,tertiary,no,420,no,no,cellular,1,aug,439,1,-1,0,unknown,no
48,blue-collar,married,tertiary,no,-141,no,no,unknown,2,jun,1,2,-1,0,failure,no
44,technician,single,secondary,no,2766,yes,yes,cellular,16,apr,26,2,-1,2,unknown,no
46,technician,divorced,secondary,no,1097,yes,no,cellular,22,aug,18,2,-1,0,unknown,yes
31,technician,married,unknown,no,175,no,no,cellular,16,mar,78,1,-1,0,unknown,no
58,management,married,unknown,no,263,no,no,cellular,1,feb,150,2,-1,0,unknown,no
18,management,married,secondary,no,904,no,no,cellular,16,may,385,2,-1,0,unknown,no
34,admin.,married,tertiary,no,495,yes,no,cellular,16,apr,229,1,30,0,unknown,no
58,blue-collar,married,primary,no,-346,yes,no,cellular,6,may,236,1,-1,0,success,yes
57,management,married,secondary,no,-123,yes,no,unknown,31,may,68,2,-1,2,unknown,no
49,technician,married,tertiary,no,617,no,no,unknown,4,jul,172,2,-1,3,unknown,no
29,management,married,tertiary,no,-584,yes,yes,unknown,5,aug,289,2,-1,0,unknown,yes
46,management,married,secondary,no,-195,yes,no,cellular,6,feb,318,8,5,0,unknown,no
59,management,single,unknown,no,7504,yes,no,unknown,10,feb,235,2,241,4,unknown,no
29,blue-collar,married,secondary,no,-602,no,no,cellular,25,jul,10,1,2,0,unknown,yes
48,blue-collar,married,tertiary,no,6325,yes,no,telephone,1,aug,1,2,-1,0,unknown,no
43,entrepreneur,married,secondary,no,101,yes,no,cellular,22,nov,73,6,1,0,unknown,yes
21,blue-collar,married,secondary,no,-867,no,no,cellular,21,may,1,2,-1,0,unknown,yes
42,retired,married,secondary,no,-572,no,no,unknown,14,mar,9,1,-1,0,other,no
43,services,single,secondary,no,-361,yes,no,cellular,11,jul,1,2,-1,1,unknown,no
36,unemployed,single,secondary,no,-576,yes,no,cellular,13,may,160,1,-1,0,unknown,no
52,technician,divorced,secondary,no,3519,yes,no,telephone,10,aug,51,5,0,0,failure,no
42,management,divorced,secondary,no,566,yes,no,cellular,20,jul,319,1,-1,0,unknown,no
23,management,married,primary,no,-453,yes,no,cellular,12,feb,136,1,-1,0,failure,no
43,retired,divorced,primary,no,-631,no,no,cellular,25,nov,1,2,5,0,unknown,no
43,management,married,tertiary,no,1140,no,no,unknown,13,jul,1,1,6,0,success,no
41,management,married,tertiary,no,7739,no,no,unknown,21,aug,335,4,-1,0,failure,no
45,self-employed,married,secondary,no,-505,no,no,cellular,9,jul,288,1,-1,0,other,no
31,blue-collar,divorced,secondary,no,596,yes,no,cellular,10,nov,446,2,0,0,unknown,no
41,housemaid,married,unknown,no,-1050,yes,no,telephone,10,nov,243,3,-1,0,unknown,no
33,management,single,unknown,no,223,yes,yes,cellular,16,nov,58,2,-1,0,success,no
